model,task,task_chinese,metric,value,temperature,test_samples,test_participants,seed
OpenMHC-Onset,menstrual_onset_24h,24小时内月经开始,auprc,0.0354064407819063,0.3362307285305403,936,7,42
OpenMHC-Onset,menstrual_onset_24h,24小时内月经开始,auroc,0.5186241311709143,0.3362307285305403,936,7,42
OpenMHC-Onset,menstrual_onset_24h,24小时内月经开始,brier,0.0320301533343627,0.3362307285305403,936,7,42
OpenMHC-Onset,menstrual_onset_24h,24小时内月经开始,ece_10,0.0020015429289089,0.3362307285305403,936,7,42
FemMHC-Onset,menstrual_onset_24h,24小时内月经开始,auprc,0.038996318831293,0.1030937313475377,936,7,42
FemMHC-Onset,menstrual_onset_24h,24小时内月经开始,auroc,0.5859205132774906,0.1030937313475377,936,7,42
FemMHC-Onset,menstrual_onset_24h,24小时内月经开始,brier,0.0320025771442138,0.1030937313475377,936,7,42
FemMHC-Onset,menstrual_onset_24h,24小时内月经开始,ece_10,0.0028072792260034,0.1030937313475377,936,7,42
OpenMHC-Onset,menstrual_onset_72h,72小时内月经开始,auprc,0.1060953859884875,0.3362307285305403,939,7,42
OpenMHC-Onset,menstrual_onset_72h,72小时内月经开始,auroc,0.5533981828448231,0.3362307285305403,939,7,42
OpenMHC-Onset,menstrual_onset_72h,72小时内月经开始,brier,0.08847042405183,0.3362307285305403,939,7,42
OpenMHC-Onset,menstrual_onset_72h,72小时内月经开始,ece_10,0.0203031561606533,0.3362307285305403,939,7,42
FemMHC-Onset,menstrual_onset_72h,72小时内月经开始,auprc,0.1125193603088315,0.1030937313475377,939,7,42
FemMHC-Onset,menstrual_onset_72h,72小时内月经开始,auroc,0.5838380986602331,0.1030937313475377,939,7,42
FemMHC-Onset,menstrual_onset_72h,72小时内月经开始,brier,0.0882341839378448,0.1030937313475377,939,7,42
FemMHC-Onset,menstrual_onset_72h,72小时内月经开始,ece_10,0.016353104071037,0.1030937313475377,939,7,42
OpenMHC-Onset,menstrual_onset_24h,24小时内月经开始,auprc,0.0339802864549166,0.3888786131935492,936,7,43
OpenMHC-Onset,menstrual_onset_24h,24小时内月经开始,auroc,0.5185528426305472,0.3888786131935492,936,7,43
OpenMHC-Onset,menstrual_onset_24h,24小时内月经开始,brier,0.0320500405392598,0.3888786131935492,936,7,43
OpenMHC-Onset,menstrual_onset_24h,24小时内月经开始,ece_10,0.0025922646586786,0.3888786131935492,936,7,43
FemMHC-Onset,menstrual_onset_24h,24小时内月经开始,auprc,0.0490378423206765,0.0690804533247142,936,7,43
FemMHC-Onset,menstrual_onset_24h,24小时内月经开始,auroc,0.594724648012832,0.0690804533247142,936,7,43
FemMHC-Onset,menstrual_onset_24h,24小时内月经开始,brier,0.0319910508000385,0.0690804533247142,936,7,43
FemMHC-Onset,menstrual_onset_24h,24小时内月经开始,ece_10,0.0015646534451916,0.0690804533247142,936,7,43
OpenMHC-Onset,menstrual_onset_72h,72小时内月经开始,auprc,0.11059767975884,0.3888786131935492,939,7,43
OpenMHC-Onset,menstrual_onset_72h,72小时内月经开始,auroc,0.585827216261999,0.3888786131935492,939,7,43
OpenMHC-Onset,menstrual_onset_72h,72小时内月经开始,brier,0.088512990813273,0.3888786131935492,939,7,43
OpenMHC-Onset,menstrual_onset_72h,72小时内月经开始,ece_10,0.0194435743979952,0.3888786131935492,939,7,43
FemMHC-Onset,menstrual_onset_72h,72小时内月经开始,auprc,0.1218372387638705,0.0690804533247142,939,7,43
FemMHC-Onset,menstrual_onset_72h,72小时内月经开始,auroc,0.5838765977105899,0.0690804533247142,939,7,43
FemMHC-Onset,menstrual_onset_72h,72小时内月经开始,brier,0.0881916778259706,0.0690804533247142,939,7,43
FemMHC-Onset,menstrual_onset_72h,72小时内月经开始,ece_10,0.0065595714810821,0.0690804533247142,939,7,43
OpenMHC-Onset,menstrual_onset_24h,24小时内月经开始,auprc,0.0347594546607639,0.7769411931215829,936,7,44
OpenMHC-Onset,menstrual_onset_24h,24小时内月经开始,auroc,0.5312065585457137,0.7769411931215829,936,7,44
OpenMHC-Onset,menstrual_onset_24h,24小时内月经开始,brier,0.0320376061532825,0.7769411931215829,936,7,44
OpenMHC-Onset,menstrual_onset_24h,24小时内月经开始,ece_10,0.0013638270199008,0.7769411931215829,936,7,44
FemMHC-Onset,menstrual_onset_24h,24小时内月经开始,auprc,0.0472869408508798,0.2211470421804565,936,7,44
FemMHC-Onset,menstrual_onset_24h,24小时内月经开始,auroc,0.5709499198003921,0.2211470421804565,936,7,44
FemMHC-Onset,menstrual_onset_24h,24小时内月经开始,brier,0.0320108961408557,0.2211470421804565,936,7,44
FemMHC-Onset,menstrual_onset_24h,24小时内月经开始,ece_10,0.0012389564414214,0.2211470421804565,936,7,44
OpenMHC-Onset,menstrual_onset_72h,72小时内月经开始,auprc,0.1140573434042557,0.7769411931215829,939,7,44
OpenMHC-Onset,menstrual_onset_72h,72小时内月经开始,auroc,0.5886504799548278,0.7769411931215829,939,7,44
OpenMHC-Onset,menstrual_onset_72h,72小时内月经开始,brier,0.0884589099840359,0.7769411931215829,939,7,44
OpenMHC-Onset,menstrual_onset_72h,72小时内月经开始,ece_10,0.0100909449066572,0.7769411931215829,939,7,44
FemMHC-Onset,menstrual_onset_72h,72小时内月经开始,auprc,0.1099566909126021,0.2211470421804565,939,7,44
FemMHC-Onset,menstrual_onset_72h,72小时内月经开始,auroc,0.5515245623941276,0.2211470421804565,939,7,44
FemMHC-Onset,menstrual_onset_72h,72小时内月经开始,brier,0.0883335446547933,0.2211470421804565,939,7,44
FemMHC-Onset,menstrual_onset_72h,72小时内月经开始,ece_10,0.0054563926162941,0.2211470421804565,939,7,44
