baseline,baseline_step,candidate,candidate_step,task,task_chinese,primary_metric,direction,baseline_value,candidate_value,absolute_improvement,relative_improvement_percent,ci95_low_percent,ci95_high_percent,bootstrap_probability_improved,bootstrap_valid_draws,test_samples,test_participants,seed
OpenMHC,3000,FemMHC,2500,cycle_phase,月经周期阶段,macro_f1,higher,0.2086696586163847,0.1265723270440251,-0.0820973315723595,-39.34320500484744,-48.12524440741701,-21.929371862487866,0.0,2000,950,7,42
OpenMHC,3000,FemMHC,2500,cramps,次日经期痉挛严重度,mae,lower,1.0504787275997491,1.0566008585003706,-0.0061221309006214,-0.5827943717251601,-6.135138307205597,11.398206786574214,0.447,2000,520,7,42
OpenMHC,3000,FemMHC,2500,mood_swing,次日情绪波动严重度,mae,lower,1.0280947987563336,1.0244177061777848,0.0036770925785487,0.3576608482988986,-5.338802055122119,6.120876333004881,0.536,2000,520,7,42
OpenMHC,3000,FemMHC,2500,fatigue,次日疲劳严重度,mae,lower,1.1646948230954317,1.101185547101956,0.0635092759934756,5.452868402444329,0.0108001297783517,10.009351076956117,0.975,2000,520,7,42
OpenMHC,3000,FemMHC,2500,sleep_issue,次日睡眠问题严重度,mae,lower,0.7212453950196505,0.6783960162447049,0.0428493787749455,5.941026323471792,0.1033209414939642,13.976383195443775,0.977,2000,520,7,42
OpenMHC,3000,FemMHC,2500,perceived_stress,次日主观压力严重度,mae,lower,0.9918324096844746,0.9961827715428976,-0.0043503618584229,-0.4386186432249095,-4.386985128054011,2.1442019027743124,0.4115,2000,520,7,42
OpenMHC,3000,FemMHC,2500,bloating,次日腹胀严重度,mae,lower,1.1851929211559205,1.1286523922704734,0.056540528885447,4.770575986085284,-7.043927703905735,14.797002048920993,0.792,2000,520,7,42
OpenMHC,3000,FemMHC,2500,flow_volume,次日经量等级,mae,lower,0.7681508673197628,0.8108401830163592,-0.0426893156965964,-5.55741293966747,-10.081251168844558,-1.7882705887819974,0.0015,2000,509,7,42
OpenMHC,3000,FemMHC,2500,menstrual_onset_24h,24小时内月经开始,auprc,higher,0.0398721507999974,0.0391597372254756,-0.0007124135745218,-1.786744783584283,-33.74233985961822,40.52544369982525,0.498,2000,936,7,42
OpenMHC,3000,FemMHC,2500,menstrual_onset_72h,72小时内月经开始,auprc,higher,0.1028432481043559,0.1188531313689538,0.0160098832645978,15.567267234065286,-1.173501227217291,35.29633938957594,0.963,2000,939,7,42
OpenMHC,3000,FemMHC,2500,lh,尿液促黄体生成素,mae,lower,3.636395215988159,3.578214168548584,0.0581810474395751,1.5999649098582645,-5.099276444670013,10.016657401511972,0.681,2000,910,7,42
OpenMHC,3000,FemMHC,2500,estrogen,尿液雌激素代谢物,mae,lower,74.5622787475586,74.67174530029297,-0.109466552734375,-0.1468122414887424,-0.860659946943892,0.9510239178803632,0.3885,2000,910,7,42
OpenMHC,3000,FemMHC,2500,pdg,尿液孕二醇葡糖苷酸,mae,lower,7.02803897857666,7.146925926208496,-0.1188869476318359,-1.6916091102259834,-3.4498572773606258,0.2259943357052677,0.0695,2000,366,4,42
OpenMHC,2000,FemMHC,2000,cycle_phase,月经周期阶段,macro_f1,higher,0.2003653982357864,0.1265723270440251,-0.0737930711917613,-36.82924888304464,-41.97513111092643,-27.093979991316004,0.0,2000,950,7,43
OpenMHC,2000,FemMHC,2000,cramps,次日经期痉挛严重度,mae,lower,1.0334422611846374,1.0391798670475298,-0.0057376058628924,-0.5551936550683897,-5.648858532950822,2.998839647626129,0.3925,2000,520,7,43
OpenMHC,2000,FemMHC,2000,mood_swing,次日情绪波动严重度,mae,lower,1.0700144652850352,1.0387230258721571,0.031291439412878,2.924394055228262,-4.075074722808286,11.477975928787709,0.7475,2000,520,7,43
OpenMHC,2000,FemMHC,2000,fatigue,次日疲劳严重度,mae,lower,1.099946722932733,1.0636566314273157,0.0362900915054176,3.299259023078787,-7.330645090300098,14.114401735859376,0.725,2000,520,7,43
OpenMHC,2000,FemMHC,2000,sleep_issue,次日睡眠问题严重度,mae,lower,0.8650210057027065,0.9541765458595294,-0.0891555401568229,-10.30674857246926,-15.145628062814376,-6.481292549736476,0.0,2000,520,7,43
OpenMHC,2000,FemMHC,2000,perceived_stress,次日主观压力严重度,mae,lower,0.980388050698317,0.936866004879658,0.043522045818659,4.439267266431784,-0.934882665997472,9.926546540487449,0.9325,2000,520,7,43
OpenMHC,2000,FemMHC,2000,bloating,次日腹胀严重度,mae,lower,1.1739706278420412,1.1677895411849022,0.006181086657139,0.5265111843982764,-2.4090446590302235,2.9107684141683903,0.676,2000,520,7,43
OpenMHC,2000,FemMHC,2000,flow_volume,次日经量等级,mae,lower,0.7834373064383074,0.8241778984519493,-0.0407405920136418,-5.200236404219544,-8.151598711288893,-2.1797528594397746,0.0,2000,509,7,43
OpenMHC,2000,FemMHC,2000,menstrual_onset_24h,24小时内月经开始,auprc,higher,0.0333005613560996,0.0505449728464825,0.0172444114903828,51.78414653729016,34.43580706795182,98.54629724845316,1.0,2000,936,7,43
OpenMHC,2000,FemMHC,2000,menstrual_onset_72h,72小时内月经开始,auprc,higher,0.104739151715877,0.1252412143449754,0.0205020626290984,19.574402019899647,-4.465358122055097,70.72912245340935,0.918,2000,939,7,43
OpenMHC,2000,FemMHC,2000,lh,尿液促黄体生成素,mae,lower,3.713242053985596,3.908425331115722,-0.1951832771301269,-5.2564113594649085,-10.62097363091652,-0.9237930367635204,0.007,2000,910,7,43
OpenMHC,2000,FemMHC,2000,estrogen,尿液雌激素代谢物,mae,lower,75.86402893066406,74.47819519042969,1.385833740234375,1.826733644084416,0.0366838434805598,2.5730289868739877,0.9765,2000,910,7,43
OpenMHC,2000,FemMHC,2000,pdg,尿液孕二醇葡糖苷酸,mae,lower,6.955626964569092,6.966129779815674,-0.010502815246582,-0.1509973910343636,-2.6721464489966387,2.1824021214003064,0.467,2000,366,4,43
OpenMHC,2500,FemMHC,2500,cycle_phase,月经周期阶段,macro_f1,higher,0.1873055970854599,0.1265723270440251,-0.0607332700414348,-32.42469578403718,-38.838576808660605,-16.002408271575256,0.001,2000,950,7,44
OpenMHC,2500,FemMHC,2500,cramps,次日经期痉挛严重度,mae,lower,1.0657928412923443,1.0594523613269513,0.0063404799653932,0.5949073515735916,-3.290410868486222,2.502631289297869,0.654,2000,520,7,44
OpenMHC,2500,FemMHC,2500,mood_swing,次日情绪波动严重度,mae,lower,1.0516047308078178,1.0423438804940537,0.0092608503137643,0.8806398490286715,-4.197807477342382,4.339265462377948,0.6835,2000,520,7,44
OpenMHC,2500,FemMHC,2500,fatigue,次日疲劳严重度,mae,lower,1.1419445797514456,1.0981144824566749,0.0438300972947707,3.83819828667261,1.5715303990699556,6.210330353542315,1.0,2000,520,7,44
OpenMHC,2500,FemMHC,2500,sleep_issue,次日睡眠问题严重度,mae,lower,0.8738921970129013,0.9064712626429704,-0.032579065630069,-3.7280417128599335,-7.518503354996324,0.1726218348415643,0.035,2000,520,7,44
