task,task_chinese,primary_metric,direction,seeds,baseline_mean,baseline_std,candidate_mean,candidate_std,relative_improvement_from_means_percent,per_seed_relative_improvement_mean_percent,per_seed_relative_improvement_std_percent,seeds_improved,seeds_ci_strictly_above_zero
cycle_phase,月经周期阶段,macro_f1,higher,3,0.19878021797921033,0.010769882943127286,0.1265723270440251,0.0,-36.32549137396418,-36.19904989064309,3.502043051866594,0,0
cramps,次日经期痉挛严重度,mae,lower,3,1.0499046100255771,0.01618292978938053,1.0517443622916172,0.010974182094649261,-0.17523042078986892,-0.18102689173998607,0.6721204597019441,1,0
mood_swing,次日情绪波动严重度,mae,lower,3,1.0499046649497288,0.02101147968161134,1.0351615375146652,0.009478928256650499,1.4042348726747955,1.3875649175186107,1.3563773839481843,3,0
fatigue,次日疲劳严重度,mae,lower,3,1.1355287085932035,0.0328473997556745,1.0876522203286487,0.020837444050439864,4.216228784199439,4.196775237398575,1.1206879190554153,3,2
sleep_issue,次日睡眠问题严重度,mae,lower,3,0.8200528659117526,0.08568466453739404,0.8463479415824016,0.14739347146387607,-3.2065098195118784,-2.697921320619134,8.172723431278941,1,1
perceived_stress,次日主观压力严重度,mae,lower,3,0.9833585296208277,0.007447073669650755,0.975506612438804,0.033491204189547784,0.798479592692538,0.8012303198347724,3.2034234718803507,1,0
bloating,次日腹胀严重度,mae,lower,3,1.1872984731331087,0.014495767666306333,1.1616170179958527,0.03035278694000685,2.1630159322521747,2.1626462054669187,2.282829450757518,3,0
flow_volume,次日经量等级,mae,lower,3,0.7949606027763969,0.03406588909984158,0.8562391688797156,0.06741321933994111,-7.708377734607672,-7.602306075041791,3.855321312049152,0,0
menstrual_onset_24h,24小时内月经开始,auprc,higher,3,0.033851710091407604,0.0057646606987350755,0.0450353911999925,0.0057014387875755895,33.03727072690367,36.65358003669433,33.54055342297963,2,2
menstrual_onset_72h,72小时内月经开始,auprc,higher,3,0.10368843701190274,0.0009645171153445318,0.11727135959535485,0.008867191097322554,13.099746678496937,13.07863097828553,8.034548099430308,3,0
lh,尿液促黄体生成素,mae,lower,3,3.6181769371032715,0.10536225578908288,3.700514475504557,0.18098819713386705,-2.2756636790462066,-2.2650706139773606,3.510695203363432,1,0
estrogen,尿液雌激素代谢物,mae,lower,3,75.28471120198567,0.662570564806779,74.72621154785156,0.27926189499079496,0.7418500319881404,0.7363595356137166,1.0029558540678702,2,1
pdg,尿液孕二醇葡糖苷酸,mae,lower,3,6.88715918858846,0.18488017058614944,6.961921215057373,0.18714448822475513,-1.0855277832518884,-1.0878918621104223,0.8225730446303182,0,0
